Tow Date,Vehicle Year,Vehicle Make,Vehicle Model,Tow Reason,Storage Company,Notes,Incident Date,Location,City,Geo-location field
04/30/2020,2019,JEEP,,NOP,TCL,,05/02/0020,19757 CRYSTAL ROCK DR,GERMANTOWN,POINT (-77.261484 39.179888)
06/13/2020,2015,JEEP,GCH,FIRE,TCL,,06/15/0020,20107 TORREY POND PL,MONTGOMERY VILLAGE,POINT (-77.204705 39.185963)
05/21/2020,2005,GMC,NULL,FIRE,tcl,FIRE LANE // HENRYS 301-927-0007 // TCL,05/23/0020,6660 EAMES WAY,BETHESDA,
04/17/2020,2015,HYUN,ACC,NOP,A&M,NOP A&M 301-421-0953,04/19/0020,100 BLK BOWSPRIT CT,GAITHERSBURG,
05/24/2020,2015,MINI,COOPER,NOP,tcl,NO PERMIT // AUBURN // 301-977-2740 // TCL,05/26/0020,ARIZONA CIR / WESTLAKE DR,BETHESDA,
05/13/2020,2015,HOND,CIV,NOP,AUBURN,AUBURN 301-977-2740  NOP,05/15/0020,TURMERIC CT / CINNAMON DR,GERMANTOWN,
07/02/2020,2017,HYUN,ELN,NOP,BIG TOW,,02/22/0007,5021 BRADLEY BLVD,CHEVY CHASE,POINT (-77.10044 38.977851)
02/17/2020,1989,BUIC,,,TRP,,02/17/2020,7734 MAPLE AVE,TAKOMA PARK,POINT (-77.004105 38.98446)
10/25/2020,2015,NISS,ALT,NOP,tcl,NOP  AUBURN   301-977-2740,10/27/0020,SAGE WAY / CINNAMON DR,GERMANTOWN,
02/16/2020,2013,TOYT,RAV,FIRE,on the run,,02/16/2020,13065 WISTERIA DR,GERMANTOWN,POINT (-77.271104 39.1775)
10/20/2020,1992,HOND,ACC,NOP,tcl,"NOP// GRACE TOWING, 240-477-7191, TCL",10/22/0020,SAILFISH TER / ISLANDSIDE DR,MONTGOMERY VILLAGE,
02/17/2020,2020,FORD,TCN,PRV,TCL,,02/17/2020,7 MC CAUSLAND PL,GAITHERSBURG,POINT (-77.194636 39.129135)
