tow_date,tow_reason,storage_company,street,city,geo_location,longitude,latitude,location,block,hh_income,pop_total,pop_black,state,tract
2020-12-11,REPO,Final Notice,21704 Stableview Dr,Gaithersburg,POINT (-77.175624 39.211873),-77.175624,39.211873,"(39.211873, -77.175624)",7001012,208929,1931,39,24,700101
2021-02-17,REPO,,8212 Brink Rd,Gaithersburg,POINT (-77.167752 39.208712),-77.16775200000001,39.208712,"(39.208712, -77.167752)",7001013,135208,800,10,24,700101
2021-02-10,REPO,Thomas,7321 Brink Rd,Gaithersburg,POINT (-77.148754 39.211605),-77.148754,39.211605,"(39.211605, -77.148754)",7001013,135208,800,10,24,700101
2020-02-15,REPO,Greenwood Recovery,21400 Laytonsville Rd,Gaithersburg,POINT (-77.141329 39.207148),-77.141329,39.207148,"(39.207148, -77.141329)",7001032,218173,1017,193,24,700103
2020-02-04,REPO,Greenwood Recovery,7571 Lindbergh Dr,Gaithersburg,POINT (-77.153158 39.166038),-77.15315799999999,39.166038,"(39.166038, -77.153158)",7001033,172778,3112,345,24,700103
2020-02-08,NOP,Henrys,17604 Phelps Hill Ln,Derwood,POINT (-77.145388 39.147122),-77.145388,39.147121999999996,"(39.147122, -77.145388)",7001033,172778,3112,345,24,700103
2020-06-22,FIRE,Speedy,17600 Phelps Hill Ln,Derwood,POINT (-77.145606 39.147011),-77.145606,39.147011,"(39.147011, -77.145606)",7001033,172778,3112,345,24,700103
2020-06-16,ABN,Vrs,7411 Lindbergh Dr,Gaithersburg,POINT (-77.155582 39.163818),-77.155582,39.163818,"(39.163818, -77.155582)",7001033,172778,3112,345,24,700103
2020-07-18,PKG,Speedy,17614 Phelps Hill Ln,Derwood,POINT (-77.145111 39.147363),-77.145111,39.147363,"(39.147363, -77.145111)",7001033,172778,3112,345,24,700103
2020-07-18,PKG,Speedy,17614 Phelps Hill Ln,Derwood,POINT (-77.145111 39.147363),-77.145111,39.147363,"(39.147363, -77.145111)",7001033,172778,3112,345,24,700103
2020-07-19,PKG,,17640 Phelps Hill Ln,Derwood,POINT (-77.145012 39.147517),-77.145012,39.147517,"(39.147517, -77.145012)",7001033,172778,3112,345,24,700103
2020-07-18,PKG,Speedy,17600 Phelps Hill Ln,Derwood,POINT (-77.145606 39.147011),-77.145606,39.147011,"(39.147011, -77.145606)",7001033,172778,3112,345,24,700103
2020-10-07,FIRE,Speedy,7213 Sheehan Ct,Derwood,POINT (-77.145308 39.146919),-77.145308,39.146919,"(39.146919, -77.145308)",7001033,172778,3112,345,24,700103
2020-08-07,FIRE,Speedy,17702 Phelps Hill Ln,Derwood,POINT (-77.144806 39.147649),-77.144806,39.147649,"(39.147649, -77.144806)",7001033,172778,3112,345,24,700103
2020-08-21,PKG,Speedy,17702 Phelps Hill Ln,Derwood,POINT (-77.144806 39.147649),-77.144806,39.147649,"(39.147649, -77.144806)",7001033,172778,3112,345,24,700103
2020-08-02,PRV,Other,7501 Muncaster Mill Rd,Gaithersburg,POINT (-77.153568 39.153681),-77.153568,39.153681,"(39.153681, -77.153568)",7001033,172778,3112,345,24,700103
2020-08-12,FIRE,Other,17612 Phelps Hill Ln,Derwood,POINT (-77.145158 39.147314),-77.145158,39.147314,"(39.147314, -77.145158)",7001033,172778,3112,345,24,700103
2020-10-08,PKG,Speedys,17610 Phelps Hill Ln,Derwood,POINT (-77.145236 39.147237),-77.145236,39.147237,"(39.147237, -77.145236)",7001033,172778,3112,345,24,700103
2020-12-20,REPO,Other,6314 Holland Meadow Ln,Gaithersburg,POINT (-77.130064 39.180869),-77.130064,39.180869,"(39.180869, -77.130064)",7001033,172778,3112,345,24,700103
2021-02-26,PKG,Speedy,7202 Phelps Hill Ct,Derwood,POINT (-77.144138 39.147034),-77.144138,39.147034000000005,"(39.147034, -77.144138)",7001033,172778,3112,345,24,700103
2021-01-05,REPO,Santander,7810 Muncaster Mill Rd,Gaithersburg,POINT (-77.157547 39.156958),-77.157547,39.156958,"(39.156958, -77.157547)",7001033,172778,3112,345,24,700103
2021-01-04,REPO,Other,7230 Antares Dr,Gaithersburg,POINT (-77.149128 39.161573),-77.149128,39.161573,"(39.161573, -77.149128)",7001033,172778,3112,345,24,700103
,,,20127 Welbeck Ter,Montgomery Village,POINT (-77.183188 39.186839),-77.183188,39.186839,"(39.186839, -77.183188)",7001041,118906,2619,518,24,700104
2020-05-04,FIRE,Authorized,20224 Ravensdale Ct,Montgomery Village,POINT (-77.180164 39.186732),-77.180164,39.186732,"(39.186732, -77.180164)",7001041,118906,2619,518,24,700104
